exchange_token,trading_symbol,company_name,close_price,expiry,strike,tick_size,lot_size,instrument_name,option_type,segment,exchange,fin_instrm_pdct_tp_cd,asset_code
21991,709MP30-SG,SDL MP 7.09% 2030,0,,0.0000,0.0100,100,SG,,SG,NSE,,
23170,8254KSFP29-N1,KISETSU 8.254% 2029 SRL2,0,,0.0000,0.0100,1,N1,,N1,NSE,,
14895,AKI-BE,AKI INDIA LIMITED,9.87,,0.0000,0.0100,1,BE,,BE,NSE,,
13441,BALPHARMA-EQ,BAL PHARMA LTD.,105.09,,0.0000,0.0100,1,EQ,,EQ,NSE,,
3755,681PN31-SG,SDL PN 6.81% 2031,0,,0.0000,0.0100,100,SG,,SG,NSE,,
20188,WABAG-EQ,VA TECH WABAG LTD,1213.6,,0.0000,0.0500,1,EQ,,EQ,NSE,,
1923,WEALTH-EQ,WEALTH FRST PORT. MG. LTD,1196.5,,0.0000,0.0500,1,EQ,,EQ,NSE,,
8358,735PY33-SG,SDL PY 7.35% 2033,0,,0.0000,0.0100,100,SG,,SG,NSE,,
28863,PROZONER-BE,PROZONE REALTY LIMITED,34.93,,0.0000,0.0100,1,BE,,BE,NSE,,
18098,745TS47-SG,SDL TS 7.45% 2047,0,,0.0000,0.0100,100,SG,,SG,NSE,,
18039,ADVENZYMES-EQ,ADVANCED ENZYME TECH LTD,327.15,,0.0000,0.0500,1,EQ,,EQ,NSE,,
1826,KAMATHOTEL-EQ,KAMAT HOTELS (I) LTD,204.38,,0.0000,0.0100,1,EQ,,EQ,NSE,,
24625,CHETANA-SM,CHETANA EDUCATION LIMITED,92,,0.0000,0.0500,1600,SM,,SM,NSE,,
19468,KARNIKA-ST,KARNIKA INDUSTRIES LTD,387.9,,0.0000,0.0500,400,ST,,ST,NSE,,
22633,769LIC34-N0,LHFL 7.69% 2034 TR 437,0,,0.0000,0.0100,1,N0,,N0,NSE,,
23588,748TS42-SG,SDL TS 7.48% 2042,0,,0.0000,0.0100,100,SG,,SG,NSE,,
23098,739WB42-SG,SDL WB 7.39% 2042,0,,0.0000,0.0100,100,SG,,SG,NSE,,
10234,765TN29-SG,SDL TN 7.65% 2029,0,,0.0000,0.0100,100,SG,,SG,NSE,,
5499,SFMP49GD-MF,SBIAMC - SFMP49GD,0,,0.0000,0.0100,1,MF,,MF,NSE,,
14352,769MP43-SG,SDL MP 7.69% 2043,0,,0.0000,0.0100,100,SG,,SG,NSE,,
28539,799TFSIL27-N0,TFSIL 7.99% 2027 SR 49,0,,0.0000,0.0100,1,N0,,N0,NSE,,
28967,102CCSP27A-N0,CCSP 10.20% 2027 SR 03,0,,0.0000,0.0100,1,N0,,N0,NSE,,
5859,889SCL28-NU,UNSE RE NCD 9.75% SR.IX,0,,0.0000,0.0100,1,NU,,NU,NSE,,
25765,705UK29-SG,SDL UK 7.05% 2029,0,,0.0000,0.0100,100,SG,,SG,NSE,,
8122,737AP38-SG,SDL AP 7.37% 2038,0,,0.0000,0.0100,100,SG,,SG,NSE,,
26113,Nifty500 EW,,0,,0.0000,0.0000,0,,,INDICES,NSE,,
21947,624MH28-SG,SDL MH 6.24% 2028,0,,0.0000,0.0100,100,SG,,SG,NSE,,
5313,UGROCAP-EQ,UGRO CAPITAL LIMITED,193.67,,0.0000,0.0100,1,EQ,,EQ,NSE,,
25107,723AP34-SG,SDL AP 7.23% 2034,0,,0.0000,0.0100,100,SG,,SG,NSE,,
7412,ALPHA-EQ,KOTAKMAMC - KOTAKALPHA,45.17,,0.0000,0.0100,1,EQ,,EQ,NSE,,
20413,IOLCP-EQ,IOL CHEM AND PHARMA LTD,357.45,,0.0000,0.0500,1,EQ,,EQ,NSE,,
20851,702AS30-SG,SDL AS 7.02% 2030,0,,0.0000,0.0100,100,SG,,SG,NSE,,
11027,INFOBEAN-EQ,INFOBEANS TECHNO. LTD.,315.4,,0.0000,0.0500,1,EQ,,EQ,NSE,,
28879,CARRARO-EQ,CARRARO INDIA LIMITED,508.75,,0.0000,0.0500,1,EQ,,EQ,NSE,,
23638,752RJ39-SG,SDL RJ 7.52% 2039,0,,0.0000,0.0100,100,SG,,SG,NSE,,
29237,712GJ35-SG,SDL GJ 7.12% 2035,0,,0.0000,0.0100,100,SG,,SG,NSE,,
1382,673PN40-SG,SDL PN 6.73% 2040,0,,0.0000,0.0100,100,SG,,SG,NSE,,
20551,DOMS-EQ,DOMS INDUSTRIES LIMITED,2292.7,,0.0000,0.0500,1,EQ,,EQ,NSE,,
20104,925SCL28A-NS,SEC RE NCD 9.25% SR VIII,0,,0.0000,0.0100,1,NS,,NS,NSE,,
611,66RJ30A-SG,SDL RJ 6.6% 2030,0,,0.0000,0.0100,100,SG,,SG,NSE,,
6656,POLICYBZR-EQ,PB FINTECH LIMITED,1644,,0.0000,0.0500,1,EQ,,EQ,NSE,,
20687,905LTF27-NF,SERENCD 9.05% SR.VI OPII,1080.01,,0.0000,0.0100,1,NF,,NF,NSE,,
6833,1018GS2026-GS,GOI LOAN 10.18% 2026,109.25,,0.0000,0.0100,1,GS,,GS,NSE,,
8825,PRIVISCL-EQ,PRIVI SPECIALITY CHE LTD,1645.3,,0.0000,0.0500,1,EQ,,EQ,NSE,,
2943,686PY34-SG,SDL PY 6.86% 2034,0,,0.0000,0.0100,100,SG,,SG,NSE,,
9333,715HR28-SG,SDL HR 7.15% 2028,0,,0.0000,0.0100,100,SG,,SG,NSE,,
27672,709HR37-SG,SDL HR 7.09% 2037,0,,0.0000,0.0100,100,SG,,SG,NSE,,
14459,LEXUS-EQ,LEXUS GRANITO (INDIA) LTD,42.12,,0.0000,0.0100,1,EQ,,EQ,NSE,,
10255,795AP40A-SG,SDL AP 7.95% 2040,0,,0.0000,0.0100,100,SG,,SG,NSE,,
3511,677RJ31-SG,SDL RJ 6.77% 2031,0,,0.0000,0.0100,100,SG,,SG,NSE,,
26029,Nifty Auto,,0,,0.0000,0.0000,0,,,INDICES,NSE,,
1363,HINDALCO-EQ,HINDALCO  INDUSTRIES  LTD,573.85,,0.0000,0.0500,1,EQ,,EQ,NSE,,
8182,MOMOMENTUM-EQ,MOTILALAMC - MOMOMENTUM,58.21,,0.0000,0.0100,1,EQ,,EQ,NSE,,
11864,PRIMESECU-EQ,PRIME SECURITIES LIMITED,239.6,,0.0000,0.0500,1,EQ,,EQ,NSE,,
20366,764RJ49-SG,SDL RJ 7.64% 2049,0,,0.0000,0.0100,100,SG,,SG,NSE,,
7672,IMAGICAA-EQ,IMAGICAAWORLD ENT LTD,63.14,,0.0000,0.0100,1,EQ,,EQ,NSE,,
22758,745MP44A-SG,SDL MP 7.45% 2044,0,,0.0000,0.0100,100,SG,,SG,NSE,,
17463,736TN43-SG,SDL TN 7.36% 2043,0,,0.0000,0.0100,100,SG,,SG,NSE,,
3204,664GS2035-GS,GOI LOAN  6.64% 2035,0,,0.0000,0.0100,1,GS,,GS,NSE,,
20,66GA30A-SG,SDL GA 6.6% 2030,0,,0.0000,0.0100,100,SG,,SG,NSE,,
206,ASHIMASYN-EQ,ASHIMA LTD,27.79,,0.0000,0.0100,1,EQ,,EQ,NSE,,
3464,82IGT31-NJ,SEC RE NCD 8.20% SR.V,1064,,0.0000,0.0100,1,NJ,,NJ,NSE,,
20920,6AP25-SG,SDL AP 6% 2025,0,,0.0000,0.0100,100,SG,,SG,NSE,,
24652,733AP39-SG,SDL AP 7.33% 2039,0,,0.0000,0.0100,100,SG,,SG,NSE,,
14820,776UK33-SG,SDL UK 7.76% 2033,0,,0.0000,0.0100,100,SG,,SG,NSE,,
10782,775PN42-SG,SDL PN 7.75% 2042,0,,0.0000,0.0100,100,SG,,SG,NSE,,
5748,CYIENT-EQ,CYIENT LIMITED,1317.25,,0.0000,0.0500,1,EQ,,EQ,NSE,,
8524,SURANI-ST,SURANI STEEL TUBES LTD.,188,,0.0000,0.0500,200,ST,,ST,NSE,,
24190,SYMPHONY-EQ,SYMPHONY LIMITED,1256.7,,0.0000,0.0500,1,EQ,,EQ,NSE,,
23687,ANURAS-W1,ANUPAM RASAYAN INDIA LTD,0,,0.0000,0.0500,1,W1,,W1,NSE,,
25782,814TPL27-N0,TPL 8.14% 2027,0,,0.0000,0.0100,1,N0,,N0,NSE,,
25871,FRESHARA-ST,FRESHARA AGRO EXPORTS LTD,161.3,,0.0000,0.0500,1200,ST,,ST,NSE,,
1449,593CG26-SG,SDL CG 5.93% 2026,0,,0.0000,0.0100,100,SG,,SG,NSE,,
25779,364D091025-TB,GOI TBILL 364D-09/10/25,0,,0.0000,0.0100,100,TB,,TB,NSE,,
24648,729RJ34-SG,SDL RJ 7.29% 2034,0,,0.0000,0.0100,100,SG,,SG,NSE,,
9356,MSTCLTD-EQ,MSTC LIMITED,560.7,,0.0000,0.0500,1,EQ,,EQ,NSE,,
21903,673KL28-SG,SDL KL 6.73% 2028,0,,0.0000,0.0100,100,SG,,SG,NSE,,
5900,AXISBANK-EQ,AXIS BANK LIMITED,983.8,,0.0000,0.0500,1,EQ,,EQ,NSE,,
15254,CEATLTD-EQ,CEAT LIMITED,2843.1,,0.0000,0.0500,1,EQ,,EQ,NSE,,
23465,975SCL27-Z9,SAMMAANCAP 9.75% 2027,0,,0.0000,0.0100,1,Z9,,Z9,NSE,,
12124,DOLATALGO-EQ,DOLAT ALGOTECH LIMITED,95.74,,0.0000,0.0100,1,EQ,,EQ,NSE,,
24870,INVENTURE-EQ,INVENTURE GRO & SEC LTD,1.87,,0.0000,0.0100,1,EQ,,EQ,NSE,,
25876,MORARJEE-BZ,MORARJEE TEXTILES LIMITED,8.48,,0.0000,0.0100,1,BZ,,BZ,NSE,,
7254,MEDPLUS-EQ,MEDPLUS HEALTH SERV LTD,709.9,,0.0000,0.0500,1,EQ,,EQ,NSE,,
26097,NiftySml250MQ 100,,0,,0.0000,0.0000,0,,,INDICES,NSE,,
23760,741JK49-SG,SDL JK 7.41% 2049,0,,0.0000,0.0100,100,SG,,SG,NSE,,
25552,948SCL27D-N1,SEC RE NCD 9.48% SR V,0,,0.0000,0.0100,1,N1,,N1,NSE,,
10551,789HP37-SG,SDL HP 7.89% 2037,0,,0.0000,0.0100,100,SG,,SG,NSE,,
2021,663HP31-SG,SDL HP 6.63% 2031,0,,0.0000,0.0100,100,SG,,SG,NSE,,
12026,RENUKA-EQ,SHREE RENUKA SUGARS LTD,35.81,,0.0000,0.0100,1,EQ,,EQ,NSE,,
26004,Nifty 500,,0,,0.0000,0.0000,0,,,INDICES,NSE,,
17132,PENTAGON-SM,PENTAGON RUBBER LIMITED,77.55,,0.0000,0.0500,1000,SM,,SM,NSE,,
24663,730KL52-SG,SDL KL 7.30% 2052,0,,0.0000,0.0100,100,SG,,SG,NSE,,
14721,948SCL26D-AI,SEC RE NCD 9.48% SR.V,0,,0.0000,0.0100,1,AI,,AI,NSE,,
19097,SILLYMONKS-EQ,SILLY MONKS ENTERTAIN LTD,22,,0.0000,0.0100,1,EQ,,EQ,NSE,,
5577,667GS2035-GS,GOI LOAN  6.67% 2035,98.6,,0.0000,0.0100,1,GS,,GS,NSE,,
3726,665WB28-SG,SDL WB 6.65% 2028,0,,0.0000,0.0100,100,SG,,SG,NSE,,
4898,FDC-EQ,FDC LIMITED,464.95,,0.0000,0.0500,1,EQ,,EQ,NSE,,
3237,JTEKTINDIA-EQ,JTEKT INDIA LIMITED,146.48,,0.0000,0.0100,1,EQ,,EQ,NSE,,
23244,885CIFCL34-NS,CHOLA 8.85% 2034 SR SD69,0,,0.0000,0.0100,1,NS,,NS,NSE,,
25960,715KL39-SG,SDL KL 7.15% 2039,0,,0.0000,0.0100,100,SG,,SG,NSE,,
1802,JYOTISTRUC-EQ,JYOTI STRUCTURES LTD,22.47,,0.0000,0.0100,1,EQ,,EQ,NSE,,
16783,GVT&D-EQ,GE VERNOVA T&D INDIA LTD,1591.45,,0.0000,0.0500,1,EQ,,EQ,NSE,,
7325,DCMSRIND-EQ,DCM SHRIRAM IND LTD,162.13,,0.0000,0.0100,1,EQ,,EQ,NSE,,
5614,GANESHBE-EQ,GANESH BENZOPLAST LIMITED,118.41,,0.0000,0.0100,1,EQ,,EQ,NSE,,
14645,773MH34-SG,SDL MH 7.73% 2034,0,,0.0000,0.0100,100,SG,,SG,NSE,,
10645,793RJ45-SG,SDL RJ 7.93% 2045,0,,0.0000,0.0100,100,SG,,SG,NSE,,
1614,FAIRCHEMOR-EQ,FAIRCHEM ORGANICS LIMITED,1059.9,,0.0000,0.0500,1,EQ,,EQ,NSE,,
20147,719AP34-SG,SDL AP 7.19% 2034,0,,0.0000,0.0100,100,SG,,SG,NSE,,
18916,743RJ49-SG,SDL RJ 7.43% 2049,0,,0.0000,0.0100,100,SG,,SG,NSE,,
21713,LASA-EQ,LASA SUPERGENERICS LTD,25.77,,0.0000,0.0100,1,EQ,,EQ,NSE,,
10382,795TS35-SG,SDL TS 7.95% 2035,0,,0.0000,0.0100,100,SG,,SG,NSE,,
22044,717RJ30-SG,SDL RJ 7.17% 2030,0,,0.0000,0.0100,100,SG,,SG,NSE,,
17664,SGBFEB28IX-GB,2.50%GOLDBONDS2028SR-IX,0,,0.0000,0.0100,1,GB,,GB,NSE,,
24659,735JK46-SG,SDL JK 7.35% 2046,0,,0.0000,0.0100,100,SG,,SG,NSE,,
425,KHADIM-EQ,KHADIM INDIA LIMITED,313.9,,0.0000,0.0500,1,EQ,,EQ,NSE,,
21419,651KA31-SG,SDL KA 6.51% 2031,0,,0.0000,0.0100,100,SG,,SG,NSE,,
9342,PNC-EQ,PRITISH NANDY COMMUNICATI,39.59,,0.0000,0.0100,1,EQ,,EQ,NSE,,
14424,77MH31-SG,SDL MH 7.7% 2031,0,,0.0000,0.0100,100,SG,,SG,NSE,,
22986,74BR39-SG,SDL BR 7.4% 2039,0,,0.0000,0.0100,100,SG,,SG,NSE,,
24987,726MP38-SG,SDL MP 7.26% 2038,0,,0.0000,0.0100,100,SG,,SG,NSE,,
2400,735KA39-SG,SDL KA 7.35% 2039,0,,0.0000,0.0100,100,SG,,SG,NSE,,
5025,629RJ26-SG,SDL RJ 6.29% 2026,0,,0.0000,0.0100,100,SG,,SG,NSE,,
26099,Nifty AQL 30,,0,,0.0000,0.0000,0,,,INDICES,NSE,,
20393,772HR33-SG,SDL HR 7.72% 2033,0,,0.0000,0.0100,100,SG,,SG,NSE,,
15228,UJJIVANSFB-EQ,UJJIVAN SMALL FINANC BANK,31.98,,0.0000,0.0100,1,EQ,,EQ,NSE,,
6782,NIPPOBATRY-EQ,INDO-NATIONAL LIMITED,517.25,,0.0000,0.0500,1,EQ,,EQ,NSE,,
19812,MAITREYA-ST,MAITREYA MEDICARE LIMITED,304.45,,0.0000,0.0500,400,ST,,ST,NSE,,
13389,767TS35-SG,SDL TS 7.67% 2035,0,,0.0000,0.0100,100,SG,,SG,NSE,,
13602,762TN33-SG,SDL TN 7.62% 2033,0,,0.0000,0.0100,100,SG,,SG,NSE,,
855,645RJ30-SG,SDL RJ 6.45% 2030,0,,0.0000,0.0100,100,SG,,SG,NSE,,
26031,Nifty Media,,0,,0.0000,0.0000,0,,,INDICES,NSE,,
10253,EMKAYTOOLS-SM,EMKAY TAP & CUT. TOOL LTD,423.95,,0.0000,0.0500,150,SM,,SM,NSE,,
2746,716GA31-SG,SDL GA 7.16% 2031,0,,0.0000,0.0100,100,SG,,SG,NSE,,
22139,721TR29-SG,SDL TR 7.21% 2029,0,,0.0000,0.0100,100,SG,,SG,NSE,,
21394,757NHB31-N8,NHB 7.57% 2031,0,,0.0000,0.0100,1,N8,,N8,NSE,,
23015,PCHTBILL25-NC,PC&HFL TBILL LINKED 2025,0,,0.0000,0.0100,1,NC,,NC,NSE,,
10526,757HP31-SG,SDL HP 7.57% 2031,0,,0.0000,0.0100,100,SG,,SG,NSE,,
27839,SAILIFE-EQ,SAI LIFE SCIENCES LIMITED,660.4,,0.0000,0.0500,1,EQ,,EQ,NSE,,
31760,848NTPC28-N2,8.48%S-R-NCD SERIES 2A,0,,0.0000,0.0100,1,N2,,N2,NSE,,
10507,H1158D46RQ-MF,HDFCAMC - H1158D46RQ,0,,0.0000,0.0100,1,MF,,MF,NSE,,
1038,FINCABLES-EQ,FINOLEX CABLES LTD,974.1,,0.0000,0.0500,1,EQ,,EQ,NSE,,
19213,VINYAS-ST,VINYAS INNOVATIVE TECH L,739.45,,0.0000,0.0500,200,ST,,ST,NSE,,
21946,697MH28-SG,SDL MH 6.97% 2028,0,,0.0000,0.0100,100,SG,,SG,NSE,,
8721,744AP42-SG,SDL AP 7.44% 2042,0,,0.0000,0.0100,100,SG,,SG,NSE,,
25602,WOL3D-SM,WOL 3D INDIA LIMITED,120.05,,0.0000,0.0500,1000,SM,,SM,NSE,,
2859,RAYMOND-EQ,RAYMOND LTD,1462.5,,0.0000,0.0500,1,EQ,,EQ,NSE,,
24466,812ABHF29-N0,ABHFL  8.1168% 2029 SR 2,0,,0.0000,0.0100,1,N0,,N0,NSE,,
29982,UFDQIPIGVI-MF,UTIAMC - UFDQIPIGVI,0,,0.0000,0.0100,1,MF,,MF,NSE,,
21155,774KA34-SG,SDL KA 7.74% 2034,0,,0.0000,0.0100,100,SG,,SG,NSE,,
2319,NCC-EQ,NCC LIMITED,225.1,,0.0000,0.0500,1,EQ,,EQ,NSE,,
27008,HEXATRADEX-EQ,HEXA TRADEX LIMITED,212.65,,0.0000,0.0500,1,EQ,,EQ,NSE,,
11683,783GA32-SG,SDL GA 7.83% 2032,0,,0.0000,0.0100,100,SG,,SG,NSE,,
13539,HDFC1204DD-MF,HDFCAMC - HDFC1204DD,0,,0.0000,0.0100,1,MF,,MF,NSE,,
18485,CAGL27-NC,SEC RE NCD SR VI,0,,0.0000,0.0100,1,NC,,NC,NSE,,
20622,TPL26-N3,TPL REPO RATE LINK2026SRL,0,,0.0000,0.0100,1,N3,,N3,NSE,,
8677,ABSLFTTQRG-MF,BIRLASLAMC - ABSLFTTQRG,0,,0.0000,0.0100,1,MF,,MF,NSE,,
11590,77MH30-SG,SDL MH 7.7% 2030,0,,0.0000,0.0100,100,SG,,SG,NSE,,
11837,894SCL25A-ZI,SEC RE NCD SR.V,0,,0.0000,0.0100,1,ZI,,ZI,NSE,,
20612,850TPL26-N0,TPL 8.50% 2026 SR N,0,,0.0000,0.0100,1,N0,,N0,NSE,,
430,692RJ30-SG,SDL RJ 6.92% 2030,0,,0.0000,0.0100,100,SG,,SG,NSE,,
22882,742MP46-SG,SDL MP 7.42% 2046,0,,0.0000,0.0100,100,SG,,SG,NSE,,
10638,777RJ32-SG,SDL RJ 7.77% 2032,0,,0.0000,0.0100,100,SG,,SG,NSE,,
12384,ZIMLAB-EQ,ZIM LABORATORIES LIMITED,98.26,,0.0000,0.0100,1,EQ,,EQ,NSE,,
18226,MANINFRA-EQ,MAN INFRA LTD,187.7,,0.0000,0.0100,1,EQ,,EQ,NSE,,
3578,696TN51-SG,SDL TN 6.96% 2051,0,,0.0000,0.0100,100,SG,,SG,NSE,,
9539,SAKAR-EQ,SAKAR HEALTHCARE LIMITED,289,,0.0000,0.0500,1,EQ,,EQ,NSE,,
11339,894SCL25-Z3,SEC RE NCD SR.V,0,,0.0000,0.0100,1,Z3,,Z3,NSE,,
25478,715WB44-SG,SDL WB 7.15% 2044,0,,0.0000,0.0100,100,SG,,SG,NSE,,
11817,MANGALAM-EQ,MANGALAM DRUG & CHEM LTD,101.02,,0.0000,0.0100,1,EQ,,EQ,NSE,,
2387,72UP31-SG,SDL UP 7.2% 2031,0,,0.0000,0.0100,100,SG,,SG,NSE,,
14378,774MH33-SG,SDL MH 7.74% 2033,0,,0.0000,0.0100,100,SG,,SG,NSE,,
17695,VIJIFIN-BE,VIJI FINANCE LIMITED,3.01,,0.0000,0.0100,1,BE,,BE,NSE,,
25435,727PFCL31-N0,PFC 7.27% 2031 SR 242A,0,,0.0000,0.0100,1,N0,,N0,NSE,,
20928,766TN33-SG,SDL TN 7.66% 2033,0,,0.0000,0.0100,100,SG,,SG,NSE,,
24257,793TPRE29-N0,TP 7.93% 2029 SR I,0,,0.0000,0.0100,1,N0,,N0,NSE,,
29005,712MP47-SG,SDL MP 7.12% 2047,0,,0.0000,0.0100,100,SG,,SG,NSE,,
2313,MURUDCERA-EQ,MURUDESHWAR CERAMICS LTD,42.27,,0.0000,0.0100,1,EQ,,EQ,NSE,,
7295,697AS31A-SG,SDL AS 6.97% 2031,0,,0.0000,0.0100,100,SG,,SG,NSE,,
29051,705GJ32-SG,SDL GJ 7.05% 2032,0,,0.0000,0.0100,100,SG,,SG,NSE,,
10297,PPL-EQ,PRAKASH PIPES LIMITED,413.65,,0.0000,0.0500,1,EQ,,EQ,NSE,,
19233,AARTISURF-EQ,AARTI SURFACTANTS LIMITED,554.65,,0.0000,0.0500,1,EQ,,EQ,NSE,,
5090,717TS41-SG,SDL TS 7.17% 2041,0,,0.0000,0.0100,100,SG,,SG,NSE,,
28874,IHF261224A-N1,SEC RE NCD SR VIII,0,,0.0000,0.0100,1,N1,,N1,NSE,,
17105,SUMICHEM-EQ,SUMITOMO CHEM INDIA LTD,497.4,,0.0000,0.0500,1,EQ,,EQ,NSE,,
13081,TRIVENI-EQ,TRIVENI ENGG. & INDS. LTD,385.15,,0.0000,0.0500,1,EQ,,EQ,NSE,,
24562,733TN32-SG,SDL TN 7.33% 2032,0,,0.0000,0.0100,100,SG,,SG,NSE,,
2264,708UP31-SG,SDL UP 7.08% 2031,0,,0.0000,0.0100,100,SG,,SG,NSE,,
5426,NUVOCO-EQ,NUVOCO VISTAS CORP LTD,333.15,,0.0000,0.0500,1,EQ,,EQ,NSE,,
17034,IIFLZC26B-NY,SEC RE NCD 0% SR.IV,0,,0.0000,0.0100,1,NY,,NY,NSE,,
22475,KONSTELEC-ST,KONSTELEC ENGINEERS LTD,107.5,,0.0000,0.0500,1000,ST,,ST,NSE,,
7451,NIFTY50ADD-EQ,DSPAMC - DSPN50ETF,237.89,,0.0000,0.0100,1,EQ,,EQ,NSE,,
17518,SETCO-BE,SETCO AUTOMOTIVE LTD,16.46,,0.0000,0.0100,1,BE,,BE,NSE,,
25227,803ABHFL29-N0,ABHFL 8.03% 2029 SR F2,0,,0.0000,0.0100,1,N0,,N0,NSE,,
7169,MICEL-EQ,MIC ELECTRONICS LTD,71,,0.0000,0.0100,1,EQ,,EQ,NSE,,
10334,789TS34-SG,SDL TS 7.89% 2034,0,,0.0000,0.0100,100,SG,,SG,NSE,,
2242,705NL31-SG,SDL NL 7.05% 2031,0,,0.0000,0.0100,100,SG,,SG,NSE,,
10541,767NL32-SG,SDL NL 7.67% 2032,0,,0.0000,0.0100,100,SG,,SG,NSE,,
4654,AILIMITED-ST,ABHISHEK INTEGRATIONS LTD,57.95,,0.0000,0.0500,1500,ST,,ST,NSE,,
